pers;date_begin;date_end;date diff;fr;en;pt;es;authors;reviewers;editors;translator;translation-editor;translation-reviewer;total contrib;orcid_id;have_orcid;role1;role2;role3;city1;city2;city3;country1;country2;country3;institution1;institution2;institution3;speciality1;speciality2;speciality3
John R. Ladd;23/08/2017;05/05/2020;3;0;2;0;0;2;0;0;0;0;0;2;0000-0002-5440-062X;1;MA;Post-doc;Visiting Assistant Professor;Washington;Evanston;Granville;US;US;US;Georgetown University;Northwestern University;Denison University;English;Alice Kaplan Institute for the Humanities;
Sarah Connell;05/05/2020;05/05/2020;0;0;1;0;0;0;1;0;0;0;0;1;0000-0001-9202-5798;1;;;;;;;;;;;;;;;University Libraries
Heather Froehlich;19/06/2015;19/06/2015;0;0;1;0;0;1;0;0;0;0;0;1;0000-0001-9984-725X;1;;Phd;Literary Informatics Librarian;;Glasgow;University Park;;GB;US;;University of Strathclyde;Pennsylvania State University;;English;
Nabeel Siddiqui;19/06/2015;31/07/2017;2;0;2;0;0;1;1;0;0;0;0;2;;0;;;;;;;;;;;;;;;Library and Information Science
Rob Sieczkiewicz;19/06/2015;19/06/2015;0;0;1;0;0;0;1;0;0;0;0;1;0000-0002-4429-136X;1;;;Director;;;Selinsgrove;;;US;;;Susquehanna University;;;
Ryan Deschamps;31/07/2017;04/11/2018;1;0;6;0;0;1;5;0;0;0;0;6;0000-0001-7934-6845;1;;;;;;;;;;;;;;;
Sandra van Ginhoven;13/09/2017;13/09/2017;0;0;1;0;0;0;1;0;0;0;0;1;0000-0001-6785-0809;1;;;;;;;;;;;;;;;
Matthew Lincoln;24/05/2016;04/11/2018;2;0;4;0;0;1;1;2;0;0;0;4;0000-0002-4387-3384;1;MA; None;;College Park;Los Angeles;;US;US;;University of Maryland;Getty Research Institute;;Art History & Archaeology; None;Lehrstuhl für Religionswissenschaft
Frederik Elwert;17/07/2012;01/12/2015;3;0;10;0;0;0;10;0;0;0;0;10;0000-0001-9149-9377;1;MA;Phd; None;Bremen;Bochum;Bochum;DE;DE;DE;Universität Bremen;Ruhr-Universitat Bochum;Ruhr-Universität Bochum; None; None;
Megan R. Brett;24/02/2016;24/02/2016;0;0;1;0;0;1;0;0;0;0;0;1;0000-0002-7474-7196;1;MSc;;;Edinburgh;;;GB;;;University of Edinburgh;;;Scottish Studies;;
Sheila Brennan;24/02/2016;24/02/2016;0;0;1;0;0;0;1;0;0;0;0;1;0000-0002-7883-2996;1;Phd;Associate Director;;Fairfax;Fairfax;;US;US;;George Mason University;George Mason University;;History and Art History;Roy Rosenzweig Center for History and New Media;
Patrick Smyth;02/04/2018;02/04/2018;0;0;1;0;0;1;0;0;0;0;0;1;;0;;;;;;;;;;;;;;;
Megan Kudzia;02/04/2018;17/05/2021;3;0;2;0;0;0;2;0;0;0;0;2;0000-0003-0900-6823;1;Master;;;Detroit;;;US;;;Wayne State University;;;School of Library and Information Science;;
Jacob W. Greene;10/08/2018;10/08/2018;0;0;1;0;0;1;0;0;0;0;0;1;;0;;;;;;;;;;;;;;;
