orcid_id;begin;end;role;institution;city;country;speciality
0000-0001-8577-8409;2014;2016;Master;Indiana University;Bloomington;US;School of Informatics, Computing, and Engineering
0000-0002-3057-932X;2019;2021;Master;Hertie School;Berlin;DE;Public Policy
0000-0002-1895-3905;1999;2000;Master;Universidade Federal de Santa Catarina;Florianopolis;BR;Production Engineer
0000-0003-2740-7831;2020;2020;Master;Universidad Nacional de Educación a Distancia;Madrid;ES;Laboratorio de Investigación en Humanidades Digitales, Facultad de Filología, E.T.S.I. Informática
0000-0002-7990-9924;;2015;Master;University of British Columbia;Vancouver;CA;iSchool@UBC: School of Library, Archival and Information Studies
0000-0001-5542-3754;1998;2002;Master;Concordia University;Montreal;CA;Informatique / Computer Science
0000-0002-5958-9038;2001;2005;Master;George Mason University;Fairfax;US;History & Art History
0000-0001-7526-1166;2013;2015;Master;Binghamton University;Binghamton;US;History
0000-0001-5452-3913;2008;2010;Master;" ""Institut d'études politiques de Paris""";Paris;FR;History
0000-0002-1470-7723;2006;2007;Master;York University;Toronto;CA;History
0000-0001-7503-8685;2012;2014;Master;Université Bordeaux Montaigne;Pessac;FR;None
0000-0002-2128-0641;2004;2006;Master;Université de Strasbourg;Strasbourg;FR;Faculté des Sciences Historiques
0000-0003-2740-7831;2020;;Master;Universidad Nacional de Educación a Distancia;Madrid;ES;Facultad de Filosofía y Letras
