pers;date_begin;date_end;date diff;fr;en;pt;es;authors;reviewers;editor;translator;total contrib;orcid_id;have_orcid;fr_contrib;en_contrib;pt_contrib;es_contrib;authors_contrib;reviewers_contrib;editor_contrib;translator_contrib;role2;city2;country2;institution2;speciality2
Francesca Benatti;17/07/2012;17/07/2012;0;0;1;0;0;0;1;0;0;1;0000-0002-1456-7812;1;0;1;0;0;0;1;0;0;None;None;None;None;None
Andrew Akhlaghi;06/01/2021;06/01/2021;0;0;1;0;0;1;0;0;0;1;0000-0002-0824-3328;1;0;1;0;0;1;0;0;0;None;None;None;None;None
Clemens Neudecker;06/01/2021;06/01/2021;0;0;1;0;0;0;1;0;0;1;0000-0001-5293-8322;1;0;1;0;0;0;1;0;0;None;None;None;None;None
Gustavo Candela;06/01/2021;30/08/2021;0;0;1;0;1;1;1;0;0;2;0000-0001-6122-0777;1;0;1;0;1;1;1;0;0;None;None;None;None;None
Jane Winters;30/04/2014;30/04/2014;0;0;1;0;0;0;1;0;0;1;0000-0001-5502-5887;1;0;1;0;0;0;1;0;0;None;None;None;None;None
Puteri Zarina Megat Khalid;15/01/2018;15/01/2018;0;0;1;0;0;0;1;0;0;1;0000-0002-9296-8662;1;0;1;0;0;0;1;0;0;None;None;None;None;None
Jeff Veitch;07/06/2016;07/06/2016;0;0;1;0;0;0;1;0;0;1;0000-0002-0287-7493;1;0;1;0;0;0;1;0;0;MPhil;Canterbury;GB;University of Kent;Classical and Archaeological Studies
Grant Wythoff;19/03/2014;19/03/2014;0;0;1;0;0;1;0;0;0;1;0000-0002-6605-9596;1;0;1;0;0;1;0;0;0;None;None;None;None;None
Alex Brey;04/11/2018;04/11/2018;0;0;1;0;0;1;0;0;0;1;0000-0002-3201-8462;1;0;1;0;0;1;0;0;0;None;None;None;None;None
Peter Organisciak;22/11/2016;22/11/2016;0;0;1;0;0;1;0;0;0;1;0000-0002-9058-2280;1;0;1;0;0;1;0;0;0;None;None;None;None;None
Tessa C Hauswedell;07/07/2016;07/07/2016;0;0;1;0;0;0;1;0;0;1;0000-0002-0734-3538;1;0;1;0;0;0;1;0;0;None;None;None;None;None
Seth Bernstein;04/10/2013;04/10/2013;0;0;1;0;0;1;0;0;0;1;0000-0001-5116-3828;1;0;1;0;0;1;0;0;0;None;None;None;None;None
Jason Heppler;24/04/2017;24/04/2017;0;0;1;0;0;0;1;0;0;1;0000-0003-4158-6186;1;0;1;0;0;0;1;0;0;None;None;None;None;None
Charlie Harper;27/07/2018;27/07/2018;0;0;1;0;0;1;0;0;0;1;0000-0003-3781-5812;1;0;1;0;0;1;0;0;0;None;None;None;None;None
Ben Schmidt;27/07/2018;27/07/2018;0;0;1;0;0;0;1;0;0;1;0000-0002-8263-5485;1;0;1;0;0;0;1;0;0;None;None;None;None;None
Moritz MÃ¤hr;30/01/2020;30/01/2020;0;0;1;0;0;1;0;0;0;1;0000-0002-1367-1618;1;0;1;0;0;1;0;0;0;None;None;None;None;None
Caio Mello;14/06/2021;14/06/2021;0;0;0;1;0;0;0;0;1;1;0000-0001-7492-7237;1;0;0;1;0;0;0;0;1;None;None;None;None;None
