id1;id2;size
Russell Alleen-Willems;04/10/2013;04/10/2013;0;0;1;0;0;0;1;0;0;0;0;;
Doug Knox;22/06/2013;22/06/2013;0;0;1;0;0;1;0;0;0;0;0;;
Dave Shepard;22/06/2013;22/06/2013;0;0;1;0;0;0;1;0;0;0;0;;
Stephanie J. Richmond;24/04/2017;24/04/2017;0;0;1;0;0;1;0;0;0;0;0;;
Tommy Tavenner;24/04/2017;24/04/2017;0;0;1;0;0;1;0;0;0;0;0;;
Jason Heppler;24/04/2017;24/04/2017;0;0;1;0;0;0;1;0;0;0;0;0000-0003-4158-6186;
Charlie Harper;27/07/2018;27/07/2018;0;0;1;0;0;1;0;0;0;0;0;0000-0003-3781-5812;
Ben Schmidt;27/07/2018;27/07/2018;0;0;1;0;0;0;1;0;0;0;0;0000-0002-8263-5485;
Moritz Mähr;30/01/2020;30/01/2020;0;0;1;0;0;1;0;0;0;0;0;0000-0002-1367-1618;
Jack Pay;30/01/2020;30/01/2020;0;0;1;0;0;0;1;0;0;0;0;;
Caio Mello;14/06/2021;14/06/2021;0;0;0;1;0;0;0;0;1;0;0;0000-0001-7492-7237;
Josir Cardoso Gomes;26/03/2021;14/06/2021;0;0;0;3;0;0;0;0;0;2;1;0000-0001-7629-1404;
Bruno Ponne;14/06/2021;14/06/2021;0;0;0;1;0;0;0;0;0;0;1;0000-0002-3057-932X;
Ian Araujo;14/06/2021;02/03/2022;1;0;0;4;0;0;0;0;0;0;4;0000-0001-6359-4991;
Diana Rebelo Rodriguez;13/07/2021;02/03/2022;1;0;0;4;0;0;0;0;4;0;0;;
Jimmy Medeiros;26/03/2021;02/03/2022;1;0;0;10;0;0;0;0;0;10;0;0000-0002-8280-3338;
Ana Giulia Aldgeire;19/11/2021;02/03/2022;1;0;0;2;0;0;0;0;0;0;2;;
Rafael Laguardia;30/03/2021;30/03/2021;0;0;0;1;0;0;0;0;1;0;0;;
Joana Vieira Paulino;29/01/2021;13/01/2022;1;0;0;6;0;0;0;0;0;3;3;0000-0002-9433-2799;
Luis Ferla;30/03/2021;30/03/2021;0;0;0;1;0;0;0;0;0;0;1;0000-0003-3617-2560;
Ana Alcântara;30/03/2021;30/03/2021;0;0;0;1;0;0;0;0;0;0;1;;
Felipe Lamarca;26/03/2021;13/01/2022;1;0;0;7;0;0;0;0;4;0;3;0000-0003-0002-3627;
Daniel Bonatto Seco;17/12/2021;18/12/2021;0;0;0;2;0;0;0;0;0;0;2;;
Ana Carolina Erthal;13/01/2022;13/01/2022;0;0;0;1;0;0;0;0;0;0;1;;
Gabriela Kucuruza;26/03/2021;02/07/2021;0;0;0;3;0;0;0;0;3;0;0;;
Daniel Alves;26/03/2021;02/07/2021;0;0;0;3;0;0;0;0;0;2;1;;
Danielle Sanches;12/05/2021;02/07/2021;0;0;0;7;0;0;0;0;0;6;1;;
Bruno Gasparotto Ponne;26/03/2021;26/03/2021;0;0;0;1;0;0;0;0;1;0;0;;
Josir C. Gomes;13/05/2021;13/05/2021;0;0;0;4;0;0;0;0;4;0;0;;
Bruno Martins;30/03/2021;13/05/2021;0;0;0;7;0;0;0;0;0;0;7;0000-0002-8102-9416;
Renato Rocha Souza;13/05/2021;13/05/2021;0;0;0;5;0;0;0;0;0;0;5;0000-0002-1895-3905;
João Gilberto Neves Saraiva;30/03/2021;30/03/2021;0;0;0;1;0;0;0;0;1;0;0;0000-0002-2094-8216;
Ângela Pité;07/06/2021;07/06/2021;0;0;0;1;0;0;0;0;0;0;1;;
Rômulo Predes;12/05/2021;13/07/2021;0;0;0;3;0;0;0;0;0;0;3;0000-0001-9461-7834;
Mariana Affonso Penna;10/09/2021;10/09/2021;0;0;0;1;0;0;0;0;1;0;0;0000-0001-5415-795X;
Aracele Torres;12/05/2021;13/05/2021;0;0;0;2;0;0;0;0;2;0;0;0000-0002-5240-060X;
Ivo Veiga;21/05/2021;28/08/2021;0;0;0;2;0;0;0;0;0;0;2;0000-0001-8385-3030;
Romulo Predes;28/08/2021;28/08/2021;0;0;0;1;0;0;0;0;0;0;1;0000-0001-9461-7834;
Márcia T. Cavalcanti;29/01/2021;29/01/2021;0;0;0;1;0;0;0;0;1;0;0;;
Maria Guedes;29/01/2021;13/07/2021;0;0;0;2;0;0;0;0;0;0;2;;
Elizabeth Freire;29/01/2021;29/01/2021;0;0;0;1;0;0;0;0;0;0;1;;
Suemi Higuchi;21/05/2021;21/05/2021;0;0;0;1;0;0;0;0;0;0;1;0000-0002-6255-3781;
Samuel Van Ransbeeck;26/03/2021;26/03/2021;0;0;0;1;0;0;0;0;0;0;1;0000-0001-6959-6605;
Juliana Marques da Silva;26/03/2021;26/03/2021;0;0;0;1;0;0;0;0;0;0;1;0000-0002-1637-8505;
Jennifer Isasi;15/03/2018;16/11/2021;3;0;0;0;19;1;3;4;4;2;5;0000-0002-4295-895X;
Victor Gayol;02/06/2018;05/06/2020;2;0;0;0;4;0;0;0;1;2;1;0000-0002-2442-3193;
Riva Quiroga;13/05/2018;11/04/2022;4;0;0;0;7;0;2;1;1;0;3;0000-0002-1147-4135;
Carlos Manuel Varón Castañeda;04/05/2018;04/05/2018;0;0;0;0;1;0;0;0;1;0;0;0000-0001-9581-5007;
Basthian Medina;28/06/2021;11/04/2022;1;0;0;0;2;0;1;0;1;0;0;0000-0001-5822-5112;
